name,birth_date,death_date
Anatol Teslev,1947-09-16,None
Matthew Sadler,1974-05-15,None
Willie Stewart,1870-02-11,None
Jimmy Kelly,1911-11-09,None
Silverio Cavazos,1968-12-15,2010-11-21
John Niland (American football),1944-02-29,None
Alexandre René Chaussegros de Léry,1818-03-26,1880-12-19
Peque Gallaga,1943-08-25,2020-05-07
Sueo Ōe,1914-08-02,1941-12-24
Glenn Sarty,1930-09-09,2007-02-06
Lee Bullock,1981-05-22,None
Dewey Balfa,1927-03-20,1992-06-17
Darren Dunning,1981-01-08,None
William McCoy (mutineer),1763-11-09,1798-04-20
Nick Leason,1968-08-23,None
António Leitão,1960-07-22,2012-03-18
Harold Day,1898-08-12,1972-06-15
Bernard Lambourde,1971-05-11,None
Arthur Rudolf Hantzsch,1857-03-07,1935-03-14
Euphemia of Rügen,1280-11-09,1312-11-09
Jerry Davitch,1941-06-09,None
Josh Betts,1982-08-25,None
Sir James Plimsoll,1917-04-25,1987-05-08
Joey Hawkins,1981-12-16,None
Frank Cappelli,1952-08-17,2018-03-06
Pete Mikkelsen,1939-10-25,2006-11-29
Ladislao Mazurkiewicz,1945-02-14,2013-01-02
Lauro Moscardini,1961-10-30,None
Walter Bauer (writer),1904-11-04,1976-12-23
Cameron Brown,1945-12-21,None
Sue Downey,1945-05-08,None
James McNaught,1870-06-08,1919-03-09
George McLachlan,1901-09-21,None
Daniel Federkeil,1983-11-09,None
Abel Santa Cruz,1915-11-09,1995-02-04
Moneta Sleet Jr.,1926-02-14,1996-09-30
Bill McKay,1906-08-24,None
"Billy Morgan (footballer, born 1878)",1878-11-09,None
Anna Jones,1966-04-17,None
Harry Moger,1879-09-09,1927-06-16
Iain Baxter,1936-11-16,None
Jack Mew,1889-03-30,1963-01-16
Charlie Moore,1893-06-03,1966-03-09
Antonella Bevilacqua,1971-10-15,None
Hugh McLenahan,1909-03-23,1988-05-09
Jack Mellor,1906-07-09,None
Gary I Wadler,1939-01-12,2017-09-12
George Stacey,1881-04-09,None
Jim Tolmie,1960-11-21,None
Jack Wilson,1897-03-08,None
Christoph of Württemberg,1515-05-12,1568-12-28
Harry Thomas (footballer),1901-02-28,None
David Bishop,1983-09-22,None
Frank Mann,1891-03-17,1966-07-09
Bill Griffeth,1956-08-07,None
Mia Dillon,1955-07-09,None
Lady Apsley,1895-04-29,1966-01-19
Chris Lemons,1979-11-21,None
Abe Martin,1908-10-18,1979-01-11
Thomas J Campbell,1886-10-27,1972-02-28
John Neff,1931-09-19,2019-06-04
Chris Chameleon,1971-07-28,None
Oswald Gracias,1944-12-24,None
Joseph D. Beck,1866-03-14,1936-11-08
Milt Bolling,1930-08-09,2013-01-19
Martin Høyem,1982-01-16,None
Joseph Quick (Medal of Honor),1877-11-09,None
Mike Sheppard,1951-10-29,None
Nikola Rakojević,1958-01-15,None
Arturo Lafalla,1944-06-04,None
Weldon (footballer),1980-08-06,None
Robert Paul Sonkowsky,1931-09-16,2014-11-16
Raoul Warocqué,1870-02-04,1917-05-28
Richard Daft,1835-11-02,1900-07-18
Bertrand Marchand,1953-04-27,None
Art Demmas,1934-07-07,2016-08-06
Joe Lee Dunn,1946-07-14,None
Bob Titchenal,1917-10-17,2009-07-05
Tim Murphy,1956-10-09,None
Mihály Táncsics,1799-04-21,1884-06-28
Obaidullah Baigعبيدالله بيگ,1936-10-01,2012-06-22
Ustad Rahim Bakhsh,1920-11-09,None
Marc Frank Montoya,1974-06-13,None
Henry Halstead,1897-11-16,1984-03-19
Bernard Abert Byrne,1853-10-19,1910-02-28
Stewart Kean,1983-03-04,None
Kirby Wilson,1961-08-24,None
Infante Gonzalo of Spain,1914-10-24,1934-08-13
Norma Smallwood,1909-05-12,1966-05-08
Demetrice Martin,1973-02-28,None
George A Bournoutian Clear lang fa جورج بورنوتیان,1943-09-25,None
Benedick Bates,1970-11-09,None
Sparkle Moore,1936-11-06,None
Ryszard Wieczorek,1962-01-25,None
Michel Kaham,1952-06-01,None
Edmond Enoka,1955-12-17,None
René N'Djeya,1953-10-09,None
Elie Onana,1951-10-13,2018-04-02
Emmanuel Kundé,1956-07-15,None
Andrew Truxal,1900-02-02,None
Ephrem M'Bom,1954-07-18,2020-09-20
Grégoire M Bida,1952-01-27,None
Jean Pierre Tokoto Sr,1948-01-26,None
Charles Toubé,1958-01-22,2016-08-04
Anak Agung Gede Ngurah Puspayoga,1965-07-07,None
Eddie O Brien,1930-12-11,2014-02-21
Paul Bahoken,1955-07-07,None
Ida Bagus Rai Dharmawijaya Mantra,1967-04-30,None
Ibrahim Aoudou,1955-08-23,None
Damian Gibson,1975-05-14,None
Jesse Macy,1842-06-21,1919-11-02
Stuart Beck,1946-12-23,2016-02-29
François N'Doumbé,1954-01-30,None
Washington Singer,1866-11-09,1934-11-09
Aaron B. Tompkins,1844-02-02,1931-11-27
Eusebio Acasuzo,1952-04-08,None
Jaime Duarte,1955-02-27,None
Salvador Salguero,1951-08-10,None
Sir William Cordell,1522-11-09,1581-11-09
Hugo Gastulo,1957-03-28,None
Pambo,0305-11-09,0375-11-09
Des Clarke,1981-01-13,None
Rosario Gangi,1939-11-10,None
Refik Šabanadžović,1965-08-02,None
Khalid Rahilou,1966-06-19,None
Benjamin V. Cohen,1894-09-23,1983-08-15
John Vassos,1898-10-23,1985-12-07
Dave Currey,1943-05-13,None
Mariano Natalio Carrera,1980-07-22,None
Kirk Brandon,1956-08-03,None
Cathlyn Platt Wilkerson,1945-01-14,None
Homer Rice,1927-02-20,None
Leudwinus,0660-11-09,0722-09-29
Cincinnati Bearcats football Cincinnati Bearcats,1913-11-08,1995-07-05
Rob Warner,1977-04-20,None
Johnny O'Brien,1930-12-11,None
Russ Cohen,1893-02-13,1981-04-07
George Babcock,1899-03-21,1988-02-27
Marian Bergeron,1918-05-03,2002-10-22
George McLaren,1896-08-29,1967-11-13
Armand Krajnc,1973-08-07,None
Sotiris Kaiafas,1949-12-17,None
Boyd Chambers,1884-11-10,1964-04-26
Rafael Garza Gutiérrez,1896-12-13,1974-07-03
Georg von Kopp,1837-07-25,1914-03-04
Susan Glover,1957-01-14,None
Harry Colon,1969-02-14,None
Clarke B Millikan,1903-08-23,1966-01-02
Mehmet Özyürek,1949-10-17,None
William Lustig,1955-02-01,None
Alan Judge,1960-05-14,None
The Lord Mackie of Benshie,1919-07-10,2015-02-19
Marc Coucke,1965-01-27,None
Stefan Borsch,1947-01-19,None
Mark Ruiz,1979-04-09,None
Barry Hinson,1961-05-12,None
Howard Odell,1910-11-30,2000-10-30
Jesse Peretz,1968-05-19,None
Enoch Bagshaw,1884-11-09,1930-10-03
Brian Geraghty,1975-05-13,None
Oliver Cutts,1873-08-06,1939-08-04
Anthony Lee (actor),1961-07-17,2000-10-28
Pete Bostwick,1909-08-14,1982-01-13
Aymar Embury II,1880-06-15,1966-11-15
Matt Mullins,1980-11-10,None
Devin Vargas,1981-12-25,None
Andy Brickley,1961-08-09,None
Frank Carideo,1908-08-04,1992-03-17
