name,birth_date,death_date
Dane Fife,1979-07-26,None
Gary Myers,1952-08-15,None
Feiz Mohammad,1970-11-09,None
Rich Ferguson (magician),1970-12-01,None
Genādijs Soloņicins,1980-01-03,None
Gerry Sundquist,1955-10-06,1993-08-01
Antons Jemeļins,1984-02-19,None
Ian Evans,1952-01-30,None
Harold Schrier,1916-10-17,1971-06-03
Fernando Gaitán Salom,1960-11-09,None
Samuel-Auguste Tissot,1728-03-20,None
Paul Bodin,1964-09-13,None
Billy Lewis,1864-11-09,None
Jared Nathan,1985-08-10,2006-12-28
Alf Sherwood,1923-11-13,1990-03-12
Karl Emil Schäfer,1891-12-17,1917-06-05
Sigvard Arne Eklund,1911-06-19,2000-01-30
Irvin D. Yalom,1931-06-13,None
The Earl of Lucan,1860-12-13,1949-04-20
William Tell,1980-02-07,None
Todd Waring,1955-04-28,None
Yair Naveh,1957-09-05,None
Carl S Williams,1872-05-16,1960-11-08
Krum Bibishkov,1982-09-02,None
Gerald W Page,1939-08-12,None
Natalia Cruz,1976-08-18,None
Kari Jalonen,1960-01-06,None
"Kevin McCann (footballer, born 1987)",1987-09-11,None
Andy Millen,1965-06-10,None
Kyle Downes,1983-03-18,None
Samuel Spewack,1899-09-16,1971-10-14
Rick Mount,1947-01-05,None
Modadugu Vijay Gupta,1939-08-17,None
Driss Benhima,1954-05-28,None
Rudolph F Zallinger,1919-11-12,1995-08-01
Michael Kabotie,1942-09-03,2009-10-23
Ernest Hilbert,1970-11-09,None
Arvie Lowe Jr,1978-02-03,None
Jules Morin,1914-11-09,1988-09-22
Edgar Rodolphe Eugène Chevrier,1887-10-05,1956-08-26
Michael Saenz,1959-12-03,None
Freddy Loix,1970-11-10,None
Jan Chozen Bays,1945-11-09,None
Chelsee Healey,1988-08-06,None
Princess Marie,1976-02-06,None
Jean Gol,1942-02-08,1995-09-18
François Lemoyne,1688-11-09,1737-06-04
Kitty Melrose,1882-11-09,1912-06-03
Frédéric-César de La Harpe,1754-04-06,1838-03-30
Stephen W Bosworth,1939-12-04,2016-01-04
Lois Wolk,1946-05-12,None
Neil Bennett,1980-10-29,None
Djamel Abdoun,1986-02-14,None
Moran Mor Cyril Baselios Maphrian,1935-08-16,2007-01-18
Michelle Hardwick,1976-02-26,None
Roberto Quarta,1949-05-10,None
Jeb Corliss,1976-03-25,None
Chris Nelson,1960-11-09,2006-12-07
Tita Merello,1904-10-11,2002-12-24
Betty Trezza,1925-08-04,2007-01-16
J P Calderon,1975-09-05,None
Jim Usry,1922-02-22,2002-01-25
Sylvester Shchedrin,1791-02-02,1830-10-27
Nate Driggers,1973-10-12,None
Bojan Prašnikar,1953-02-03,None
Frank Torre,1931-12-30,2014-09-13
Augustin Banyaga,1947-03-31,None
Jackie Hennessy,1940-10-05,None
Lia van Leer,1924-08-08,2015-03-13
Tony Potts,1963-01-23,None
Jimmy MacDonald,1906-05-19,1991-02-01
Raoul Weiler,1938-10-20,2019-02-21
William Keith,1669-11-09,1749-11-18
Muharem Bajrami,1985-11-29,None
Lew Krausse Jr.,1943-04-25,None
Terry Cochrane,1953-01-23,None
Ahmed Amla,1979-09-15,None
Nicolas Bernard Lépicié,1735-06-16,1784-09-15
David Campbell,1965-06-02,None
Hadley Fraser,1980-04-21,None
Károly Kárpáti,1906-07-02,1996-09-23
Ma Alicia Austria Martinez,1940-12-19,None
Wilhelm Reinhard (pilot),1891-03-12,1918-07-03
Finbar Wright,1957-09-26,None
Ray Gillam,1909-11-09,1998-03-23
John P. Gray (psychiatrist),1825-08-06,1886-11-29
George Washington Woodruff,1864-02-22,1934-03-24
Joe Jones,1948-01-07,None
Walid Cherfa,1986-02-19,None
Kiyoharu,1968-10-30,None
Mustapha Sama,1979-10-31,None
Röya,1982-06-14,None
Umaru Bangura,1987-10-07,None
Jesús María de Leizaola,1896-09-07,1989-03-16
Aaron Brooks,1985-01-14,None
John G W Husted Jr,1926-06-22,1999-05-09
Michael Fraser (footballer),1983-10-08,None
José Antonio Ardanza Garro,1941-06-10,None
Ramón Núñez Juárez,1931-05-25,1952-08-09
Scott Geddes,1980-10-18,None
Luke Stuart,1977-02-24,None
Jaiman Lowe,1983-01-22,None
Shane Rigon,1977-01-06,None
Yileen Gordon,1987-04-03,None
Ben Rogers (rugby league),1985-04-26,None
Beau Champion,1986-12-23,None
Luke Capewell,1989-02-06,None
Kenny Bishop,1966-04-08,None
Lyrian,1985-09-21,None
Isaac Levi,1930-06-30,2018-12-25
Dady,1981-08-13,None
Nicolae Labiș,1935-12-02,1956-12-22
Frank Blake,1949-07-30,None
Mary Elizabeth Counselman,1911-11-19,1995-11-13
Chang Po-ling,1876-04-05,1951-02-23
Maria Pawlikowska Jasnorzewska,1891-11-24,1945-07-09
Harold Horder,1894-02-24,1978-08-21
Junichi Okada,1980-11-18,None
Johan Asplund,1980-12-15,None
Johan Backlund,1981-07-24,None
Jonathan Biabiany,1988-04-28,None
Benyoucef Benkhedda,1920-02-23,2003-02-04
Morten Veland,1977-12-04,None
DJ Red,1970-11-09,None
Chih Ree Sun,1923-05-06,2007-01-05
Elizabeth Walter,1927-11-09,2006-05-08
Oh Ji ho,1976-04-14,None
Cheryl Burton,1962-12-25,None
Chou Hsi-wei,1958-03-11,None
Doug Brennan,1905-01-10,1972-11-08
Ana Paula Padrão,1965-11-25,None
Cecilia Peck,1958-05-01,None
Moniek Kleinsman,1982-11-03,None
Lucía Jiménez,1978-11-21,None
Luo Zhenyu羅振玉,1866-08-08,1940-05-14
Tom Chick,1966-08-14,None
Steve Magoffin,1979-12-17,None
Mark Ooijevaar,1983-11-09,None
Ben Edmondson,1978-09-28,None
Reza Shafiei Jam,1971-06-30,None
Laura Harrington,1958-04-29,None
Cameron Borgas,1983-09-01,None
Adam Crosthwaite,1984-09-22,None
Edin Sprečo,1947-04-19,2020-05-12
Phoebe Anna Traquair,1852-05-24,1936-08-04
Hugh Elliot,1752-04-06,None
Dmitry Starodubtsev,1986-01-03,None
Josip Mane Bukal,1945-11-15,2016-08-30
Steve Hooker,1982-07-16,None
Fabiana Murer,1981-03-16,None
Blagoje Bratić,1946-03-01,2008-07-31
Karel Kosík,1926-06-26,2003-02-21
Juan Francisco Barraza,1935-03-12,1997-12-17
Brendan Gullifer,1959-11-09,None
Tony Green,1946-10-30,None
Michiharu Mishima,1897-01-01,1965-04-20
Ron McGarry,1937-12-05,None
Tony Fitzgerald,1941-11-26,None
Mickey Burns,1946-12-21,None
Dr Premasiri Khemadasa,1937-01-25,2008-10-24
James Howie,1878-03-19,None
Virginia Luque,1927-10-04,2014-06-03
Javad Razavian lang fa جواد رضویان,1974-07-28,None
Rex Brough,1960-11-09,None
Francis Kerril Amherst,1819-03-21,1883-08-21
Carlos Schlieper,1902-09-23,1957-04-11
Ken Talbot,1950-08-26,2010-06-19
Jack Carr,1878-10-07,1948-03-17
Wilf Low,1884-12-08,1933-04-30
Peter McWilliam,1879-09-21,1951-10-01
Daniel Freire,1961-12-29,None
Sandy Higgins,1885-11-04,1939-03-15
Howard Baldwin,1942-05-14,None
Donny Barnard,1984-07-01,None
David Armitage,1988-06-16,None
George Wilson,1883-09-08,1960-05-31
Oksana Zabuzhko,1960-09-19,None
Nate Guenin,1982-12-10,None
Tulio Demicheli,1914-09-15,1992-05-25
Marcel Wanders,1963-07-02,None
Fernando Ayala,1920-07-02,1997-09-11
Michael Simpson,1974-02-28,None
Abdulwahid Bidin,1925-04-07,1999-02-02
Álvaro Lopes Cançado,1912-02-08,1984-09-19
James Dwight,1852-07-14,1917-07-13
Anuar Abdul Wahab,1945-12-23,2009-03-10
Daria Joura,1990-05-02,None
Stan White (quarterback),1971-08-14,None
Lachhu Maharaj,1901-09-01,1978-07-19
Solomiya Krushelnytska,1872-09-23,1952-11-16
James Spann,1956-06-06,None
Ratko Ninković,1967-04-16,None
Henry Joseph Nicols image,2000-05-08,2000-05-08
Siamak Ansari,1968-08-03,None
Silas,1976-09-01,None
Almir Memić,1962-03-01,None
Lydia Yeamans Titus,1857-12-12,1929-12-30
G. Madhavan Nair,1943-10-31,None
Merivale Molyneux,1885-05-10,1948-11-20
David Bailiff,1958-05-26,None
Zoumana Bakayogo,1986-08-17,None
Bernard J. Liska,1931-05-31,2002-11-11
Antonio Carpio,1949-10-26,None
Matthew Couch,1974-06-30,None
Michael Maidens,1987-05-07,2007-10-19
Louis Oliver,1966-03-09,None
Helena,1100-11-09,1200-11-09
Kimmo Kapanen,1974-09-12,None
Leonard Lewis,1927-11-29,2005-12-02
Lee Flynn,1973-09-04,None
Isabelle Stengers,1949-11-09,None
Edward Jones (North Carolina politician),1950-03-11,2012-12-14
Juan Manuel López,1983-06-30,None
Douglas Major,1953-11-09,None
James Lisney,1962-05-06,None
Akaki Chkhenkeli,1874-11-09,1959-01-05
John Freke (surgeon),1688-11-09,1756-11-09
Yoshihide Hayashi,1891-08-25,1978-02-05
Max Bergmann,1886-02-12,1944-11-07
Bobby Joe Conrad,1935-11-17,None
Conrado M. Vasquez,1913-09-03,2006-09-19
Joe Marty,1913-09-01,1984-10-04
Amaral,1978-04-04,None
Ricardo Autobahn,1978-03-08,None
Hussein Yasser,1984-01-09,None
Hedy Epstein,1924-08-15,2016-05-26
Fabio Januario,1979-09-03,None
Jon Winroth,1935-11-13,2006-07-15
Zhang Bojun,1895-11-17,1969-05-17
John P Doll,1961-03-12,None
Robert Tijdeman,1943-07-30,None
Joseph Hamilton Beattie,1808-05-12,1871-10-18
Lyudmil KirkovЛюдмил Кирков,1933-12-14,1995-12-12
Stylianos Pattakos,1912-11-08,2016-10-08
Murray Schisgal,1926-11-25,None
Edward H. Garrison,1868-02-09,1930-10-28
Madoxx Ssemanda Sematimba,1972-11-09,None
Fernando,1981-04-16,None
Sayed Borhan,1624-11-09,1680-11-09
Theodore Dru Alison Cockerell,1866-08-22,1948-01-26
Mirko Slomka,1967-09-12,None
Dorothy Anstett,1947-06-28,None
I Rice Pereira,1902-08-05,1971-01-11
Nikolaos MakarezosΝικόλαος Μακαρέζος,1919-11-09,2009-08-03
Dave Roberts (pitcher),1944-09-11,2009-01-09
Maria Remenyi,1945-12-13,None
Lee White (American football),1946-05-09,None
Kyudo Nakagawa,1927-02-12,2007-12-29
Ivan Mokanov,1912-02-20,1982-04-13
Ivan Đurđević,1977-02-05,None
Todor Marev,1954-11-20,None
Stefan Bogomilov,1945-04-11,None
Pete Charton,1942-12-21,None
Georges Ferdinand Bigot,1860-04-07,1927-10-10
Sofia Helin,1972-04-25,None
Bambi Francisco Roizen,1966-12-09,None
Don Monson,1933-04-11,None
Chance Fry,1964-06-29,None
Obren Joksimović,1952-05-15,None
Al Sayyid Abd al Husayn al Sharaf al Din al Musawi al Amili,1872-11-09,1957-12-31
Timothy Richard,1845-10-10,1919-04-17
Wong Yue,1955-10-26,2008-05-15
Pierre Derbigny,1769-06-30,1829-10-06
Bobbi Johnson,1945-03-24,None
Irving Kahn,1905-12-19,2015-02-24
William Hannum Wightman,1929-04-23,2017-02-28
C. Robert Henrikson,1947-05-21,None
Mae Yih,1928-05-04,None
Sulejman Ugljanin,1953-11-20,None
Srđan Šajn,1963-03-28,None
Patrick Nix,1972-04-07,None
Galeazzo I Visconti,1277-01-21,1328-08-06
Nick Young,1985-06-01,None
Lloyd Mumphord,1946-12-20,None
Vern Den Herder,1948-11-28,None
David F Case,1937-11-09,2018-02-03
Octavio Brunetti,1975-05-12,2014-08-29
Duriel Harris,1954-11-27,None
Larry Seiple,1945-02-14,None
Charlie Chech,1878-04-27,1938-01-31
Ray Griffin,1956-06-26,None
Steve Fifita,1982-05-16,None
Ted Risenhoover,1934-11-03,2006-09-10
Christopher Warren Green,1955-07-30,None
Connee Boswell,1907-12-03,1976-10-11
Jean de Roquetaillade,1310-11-09,1370-11-09
Giuseppe Antonio Bagioli,1795-11-17,1871-02-11
Anne R Kaiser,1968-02-10,None
Ken Ellis,1947-09-27,None
Harold Pierce,1917-08-11,1988-03-08
Athos Bulcão,1918-07-02,2008-07-31
Ted Hemsley,1943-09-01,None
Alan Tilvern,1918-11-05,2003-12-17
George Morrison,1919-11-09,None
Glenn Rockowitz,1970-05-27,None
Henning Fritz,1974-09-21,None
Fred Scolari,1922-03-01,2002-10-17
Sharon Brown,1943-09-01,None
Terry Huntingdon,1940-05-08,None
Larry McCarren,1951-11-09,None
Johnnie Gray,1953-12-18,None
John Austin Keliher,1866-11-06,1938-09-21
Rich McGeorge,1948-09-14,None
Paul Coffman,1956-03-29,None
Myrna Hansen,1934-08-05,None
Gerry Ellis,1957-11-12,None
Kotomitsuki Keiji,1976-04-11,None
Eddie Lee Ivery,1957-07-30,None
Joan Dowling,1928-01-06,1954-03-31
Archibald Stuart,1795-12-02,1855-09-20
John Souza,1920-07-12,2012-03-11
Jaime Ornelas Camacho,1921-02-28,2016-02-24
Marissa Moss,1959-09-29,None
Dave Parks,1941-12-25,2019-08-08
Sheila Harsdorf,1956-07-25,None
Jorge Bernal,1979-10-24,None
CeDell Davis,1926-06-09,2017-09-27
Al Barrow,1968-11-27,None
Aires de Ornelas e Vasconcelos,1837-09-18,1880-11-28
Mike McCoy (defensive tackle),1948-09-06,None
Hélio Pestana,1985-05-25,None
Fritz Ermarth,1941-02-20,None
Igor Vyazmikin,1966-01-08,2009-10-30
Francesco De Masi,1930-01-11,2005-11-06
Howard Brennan,1919-03-20,1983-12-22
Óscar Ornelas Küchle,1920-11-30,2000-11-09
Liza Fernández Rodríguez,1973-07-23,None
Étienne,1971-02-28,None
Martin Jakubko,1980-02-26,None
Lewis Hastings Sarett,1917-12-22,1999-11-29
Henry S. Thibodaux,1769-09-24,1827-10-24
Lucinda Dryzek,1991-08-04,None
Sarala Devi Chaudhurani,1872-09-09,1945-08-18
Branislav Fodrek,1981-02-05,None
Robert Evans,1885-11-21,1965-11-28
Gary Hughes,1964-07-05,None
Lou Rell,1940-11-19,2014-03-22
Jenny Sanford,1962-09-11,None
Dina Matos,1966-11-05,None
Sir Ian Kennedy Queen s Counsel QC,1941-09-14,None
Basilio Augustín,1840-02-12,1910-08-07
Takayasu Usui,2020-08-25,None
Shri Satyanand Agnihotri born as Shri Shiv Narayan Agnihotri,1850-12-20,1929-04-03
Andrew McDonald,1955-03-01,None
Jerry Butler (American football),1957-10-12,None
Boobie Clark,1949-11-08,1988-10-25
Don Woods (American football),1951-02-17,None
Philip Richard Fendall II,1794-12-18,1868-02-16
Willian Xavier,1983-09-22,None
Jean-Baptiste Pérès,1752-11-09,1840-11-09
Sandipan Chattopadhyay,1933-10-25,2005-12-12
Edinson Cavani,1987-02-14,None
Michaela Kirchgasser,1985-03-18,None
Yuasa Yoshiko,1896-12-07,1990-10-24
Jean Succar Kur,1944-09-19,None
Sheldon B. Vance,1917-01-18,1995-11-12
Martin Drew,1944-02-11,2010-07-29
Deniss Kačanovs,1979-11-27,None
Igors Savčenkovs,1982-11-03,None
Igors Sļesarčuks,1976-03-31,None
Gord MacKinnon,1958-08-27,None
Col John Page,1628-12-26,1692-01-23
Michele Antonio del Vasto,1495-03-26,1528-10-18
Mihails Ziziļevs,1973-12-27,None
Hideo Yoshino,1902-07-03,1967-07-13
Andris Vaņins,1980-04-30,None
Giovanni Ludovico,1496-10-21,1563-11-09
Louis Côté,1890-09-13,1943-02-02
Thomas Lauder,1395-11-09,1481-11-04
Robinson Checo,1971-09-09,None
Charles Wager,1666-02-24,1743-05-24
Geraint Thomas post nominals country,1986-05-25,None
Filipe Morais,1985-11-21,None
Uğur Mumcu,1942-08-22,1993-01-24
Marie Honorius Ernest Cimon,1848-03-30,1917-07-17
Laurie Ward,1911-11-09,None
Craig Philipson,1982-11-18,None
Howard Davies (economist),1951-02-12,None
Roger Randle,1974-05-15,None
Mary Diche Walter,1912-09-10,1993-02-25
Anna Bård,1980-04-02,None
Dave Hewett,1971-07-14,None
Nathan Rimmington,1982-11-11,None
Rod Coleman (motorcyclist),1926-06-19,2019-08-06
Branislav Obžera,1981-08-29,None
David Hughes,1972-12-30,None
Bill Bain,1937-07-30,2018-01-16
Chris Simpson (cricketer),1982-01-09,None
Joeli Vidiri,1973-11-23,None
Andrejs Butriks,1982-12-20,None
Daniel Doran,1981-06-18,None
Simon Maling,1975-06-03,None
Leandro Teixeira Dantas,1987-08-17,None
Lilian Velez,1924-03-03,1948-06-26
Tommy Browell,1892-10-19,1955-10-05
Jirès Kembo Ekoko,1988-01-08,None
Ben Powers,1950-07-05,2015-04-06
Alexandra Ievleva,1987-12-09,None
Ewa Minge,1967-05-23,None
Nobuko Yoshiya,1896-01-12,None
Karen S Montgomery,1935-08-23,None
Herman Taylor,1966-12-09,None
Elijah Pitts,1938-02-03,1998-07-10
Eugene Halliday,1911-12-10,1987-07-22
Billie S Farnum,1916-04-11,1979-11-18
The Lord Clinton,1834-03-02,None
Marcos Grigorian,1925-12-05,2007-08-27
Stephen Venner,1944-06-19,None
James Biberi,1965-07-28,None
Dixie McNeil,1947-01-16,None
Juan Pablo Pino,1987-03-30,None
W Harry Davis,1923-04-12,2006-08-11
Rob Chudzinski,1968-05-12,None
Hossein Zenderoudi,1937-03-11,None
"Bob Miller (baseball, born 1939)",1939-02-18,1993-08-06
Billy Brown,1900-08-22,None
Adolphus Frederick VI,1882-06-17,1918-02-23
César Valoyes,1984-01-05,None
Hilary Rhoda,1987-04-06,None
Eunice de Souza,1940-08-01,2017-07-29
Narinder Singh Kapany,1926-10-31,None
Jaime Castrillón,1983-04-05,None
Alexandros Diomidis,1875-01-03,1950-11-11
António Silva (actor),1886-08-15,1971-03-03
Zakhar Dubensky,1978-10-19,None
Gene Stephens,1933-01-20,2019-04-27
Larry Mickey,1943-10-21,1982-07-23
Adolphus Frederick V,1848-07-22,1914-06-11
Hakeem Noor ud Din,1841-01-08,1914-03-13
Douglas Kmiec,1951-09-24,None
Willie Limond,1979-02-02,None
S Rajeswara Rao,1922-10-11,1999-10-26
Aldo Zadrima,1948-11-09,None
Roy Caton,1927-01-28,2010-07-29
Georges Charpy,1865-09-01,1945-11-25
David Anderle,1937-07-09,2014-09-01
Mike Crombeen,1957-04-16,None
Sergei Zangareev,1980-10-03,None
Ihor Pokarynin,1981-04-30,None
Keith Robson,1953-11-15,None
Stephen Turnbull,1987-01-07,None
Ina Fried,1974-12-17,None
Frédéric Choffat,1973-06-09,None
Alimamy Jalloh,1987-09-26,None
Byron Morrow,1911-09-08,2006-05-11
Mike Gillis,1958-12-01,None
Dmytro Parfenov,1974-09-11,None
Angelina Sandoval-Gutierrez,1938-02-28,None
Alain Traoré,1988-12-31,None
Ferry Piekart,1974-10-13,None
Bert Hawkins,1923-09-29,2002-06-21
Ken Kalmusky,1945-11-18,2005-10-19
Cornell Gunter,1936-11-14,1990-02-26
Anne Lambton,1954-07-04,None
Salif Dianda,1987-12-17,None
John Anderson,1959-11-07,None
Jules Olitski,1922-03-27,2007-02-04
Sarkes Tarzian,1900-10-05,1987-10-07
William Colbeck (gangster),1890-11-17,1943-02-17
Agim Kaba,1980-02-16,None
Rok Urbanc,1985-02-28,None
John Dimes,1966-01-27,None
Matthew Liptak,1970-04-30,None
Kevin Grimes,1979-08-19,None
Kurt Schmied,1926-06-14,2007-12-09
Princess Louise,1858-02-18,1924-03-01
Trishelle Cannatella,1979-11-04,None
Graeme Smith,1982-10-03,None
GQ Money,1976-08-31,None
Murat Nasyrov,1969-12-13,2007-01-19
Race Davies,1962-08-10,None
Jodie Resther,1978-11-28,None
T La Rock,1961-09-16,None
Johnny Moore (baseball),1902-03-23,1991-04-04
Richard L. Tierney,1936-08-07,None
Travis Williams,1946-01-14,1991-02-17
Theo Mitchell,1938-07-02,None
Michael Tinkham,1928-02-23,2010-11-04
Neil Komadoski,1951-11-05,None
William Fraser Tolmie,1812-02-03,1886-12-08
Neil Komadoski Jr,1982-02-10,None
Hugh Montefiore,1920-05-12,None
Juan Gómez Jurado,1977-12-16,None
John Fendall Jr,1762-10-09,1825-11-10
Viktor Tyulkin,1951-05-14,None
Ali Manouchehri,1986-08-02,None
Chris McGrail,1989-05-05,None
James Alexander Gordon,1936-02-10,2014-08-18
Ron Kostelnik,1940-01-14,1993-01-29
Archduke Ludwig Viktor,1842-05-15,1919-01-18
Wagneau Eloi,1973-09-11,None
Lee Roy Caffey,1941-06-03,1994-01-18
Frederik Vanderbiest,1977-10-10,None
Patricia Kern,1923-08-05,2015-10-19
David Kesterton,1948-11-09,None
Brad Fast,1980-02-21,None
Charles Rabemananjara,1947-06-09,None
Roberto Cecon,1971-12-28,None
Ginia Bellafante,1965-03-31,None
Albert Walker,1910-02-04,1993-04-09
Howard Garns,1905-03-02,1989-10-06
Ann Lowe,1898-11-09,1981-02-25
Mata Gabin,1972-02-27,None
Stephen F Austin Lumberjacks football Stephen F Austin Lumberjacks,1914-04-17,1980-10-27
Fito Blanko,2020-05-07,None
John Wesley Emerson,1832-07-26,1899-06-20
Kennie Steenstra,1970-10-13,None
Frederick Richards,1833-11-30,1912-09-28
Antonina Armato,1988-02-17,None
Matthew Ko,1984-05-20,None
Jan Mazoch,1985-09-05,None
Ferdinando Minoia,1884-06-02,1940-06-28
George Dwyer,1908-09-25,1987-09-17
Carol Forman,1918-06-19,1997-07-09
Kevin Lock,1953-12-27,None
Edward Chapman,1901-10-13,1977-08-09
J Farrell MacDonald,1875-06-06,1952-08-02
Ann Kok,1973-01-11,None
Nellie Walker,1874-12-08,1973-07-10
Richard Lee II,1647-11-09,1715-11-09
Robert Alexander,1910-09-24,1943-07-19
Chris Petersen (baseball),1970-11-06,None
Gerhard Bronner,1922-10-23,2007-01-19
Scott Nicholls,1978-05-16,None
Jack Schaeffer,1946-03-19,None
Sir Rajen Mookerjee,1854-06-23,1936-05-15
Richard Lee I,1617-11-09,1664-11-09
Nick Duffy,1956-06-24,None
Rik Wilson,1962-06-17,2016-01-22
Ekramuddin Ahmad,1872-11-09,None
洪懿祥Hong Yixiang,1925-11-09,None
John Dryden,1840-06-05,1909-07-29
Samuel G Andrews,1796-10-16,1863-06-11
Tommy Clufetos,1979-12-30,None
John Thomas Blackburn,1912-01-24,1994-03-21
Tigran TorosyanՏիգրան Թորոսյան,1957-04-14,None
Mary L. Good,1931-06-20,2019-11-20
Yakov Kreizer,1905-11-04,1969-11-29
Smail Hamdani,1930-03-11,None
Yury Shulman,1975-04-29,None
Yevhen KushnaryovЄвген Кушнарьов,1951-01-29,2007-01-17
Gary Glick,1930-05-14,2015-02-11
Jaime Franklin,1975-12-27,None
Ahmed Fathy,1984-11-10,None
Olivier de Kersauson,1944-07-20,None
Jeff Green,1956-06-21,None
Remberto Giménez,1898-02-04,1977-02-15
Shirley L Huntley,1938-06-29,None
Ralph Santolla,1966-12-08,2018-06-06
Akmal Rizal,1981-12-12,None
Carlton W. Kent,1957-11-05,None
Jack Wodhams,1931-09-03,2017-08-03
Leonard Little,1974-10-19,None
Jaime Castro Castro,1938-03-28,None
Macchambes Younga Mouhani,1974-08-01,None
Barel Mouko,1979-04-05,None
Archibald Carey Jr.,1908-02-29,1981-04-20
Virtue Hampton Whitted,1922-02-22,2007-01-17
Kendra Wilkinson,1985-06-12,None
Dan Christensen,1942-10-06,2007-01-20
Vasireddy Venkatadri Nayudu,1761-11-09,1816-11-09
Carl Benton Reid,1893-08-14,1973-03-16
Carlos Moreno de Caro,1946-03-24,None
Jimmy Zinn,1895-01-21,1991-02-26
Rebecca McClanahan,1951-10-23,None
Chris Harrison,1971-07-26,None
Aris Caslib,1968-02-22,None
Wes Shoemyer,1961-03-30,None
Ramazan Ramazanov,1984-06-22,None
Cheryl Praeger,1948-09-07,None
Vikram Chandra,1967-01-07,None
Gustav Embden,1874-11-10,None
Hyrum G Smith,1879-07-08,1932-02-04
Anne C Conway,1950-07-30,None
Ciara Sotto,1980-07-02,None
Henri René,1906-12-29,1993-04-25
Marguerite Namara,1888-11-19,1974-11-05
Benjamin Whitrow,1937-02-17,2017-09-28
Ghassem Khan Vali Sardar Homayoun,1874-11-09,1933-11-09
Charlie Slusher,1971-11-28,None
Léon Zitrone,1914-11-25,1995-11-25
Lachlan Turner,1987-05-11,None
Ralf Waldmann,1966-07-14,2018-03-10
Jackie Wood,1919-10-23,None
Muammer Aksoy,1917-11-09,1990-01-31
Carlfred Broderick,1932-04-07,1999-07-27
Florian Pilkington Miksa,1950-06-03,None
Gus Malzahn,1965-10-28,None
The Lord Tomlin,1867-05-06,1935-08-12
Dacosta Goore,1984-12-31,None
Robin Brooke,1966-12-10,None
Simon Cimon,1852-12-15,1903-03-22
George Parker Bidder,1806-06-13,1878-09-20
Carlos Rodríguez Márquez,1967-11-01,None
The Lord Currie of Marylebone,1946-12-09,None
"George Carter (footballer, born 1900)",1900-10-19,None
Karen Putzer,1978-09-29,None
Enn Kokk,1937-06-19,2019-08-19
Airil Rizman,1978-04-22,1978-04-22
Lifeimi Mafi,1982-08-15,None
Karel Schulz,1899-05-06,1943-02-27
Ian Humphreys,1982-04-24,None
Kenneth Hesketh,1968-07-20,None
Frederick William,1819-10-17,1904-05-30
George I Rákóczi,1593-06-08,1648-10-11
The Lord Wade,1904-06-16,1988-11-08
Yannick Yenga,1985-04-10,None
Jamie Squires,1975-11-15,None
François Masson,1979-11-15,None
Kyle Brown,1983-08-10,None
Dan Zimmermann,1966-10-30,None
Jack Owens,1912-10-17,1982-01-26
Hélder Esteves,1977-07-01,None
Tommy Moroney,1923-11-10,None
"George, Grand Duke of Mecklenburg-Strelitz",1779-08-12,1860-09-06
Romain Poyet,1980-11-25,None
George Petersen,1921-05-13,2000-03-28
"Gordon Davies (footballer, born 1955)",1955-08-03,None
Celeste Troche,1981-02-13,1981-02-13
Phil Dwyer,1953-10-28,None
David Giles,1956-09-21,None
Anthony Vosalho,1975-01-14,None
Jason Finn,1967-10-27,None
Ardy B Wiranata,1970-02-10,None
Gareth Hall,1969-03-20,None
Matthew Hatton,1981-05-15,None
Carl Harris,1956-11-03,None
Tim Brown,1944-07-06,None
Terry Hennessey,1942-09-01,None
John Mahoney,1946-09-20,None
Colin Pascoe,1965-04-09,None
Anton Christoforidis,1917-05-26,1985-10-19
David Prieto,1983-01-02,None
Ardeshir Hosseinpour,1962-11-09,2007-01-15
Rubén Pazos,1979-08-26,None
Gerard Autet,1978-09-08,None
Marília Pêra,1943-01-22,2015-12-05
Hendrik Tollens,1780-09-24,1856-10-21
Jorma Sarvanto,1912-02-22,None
Gorō Yamaguchi,1933-02-26,1999-01-03
Matthew Berkeley,1987-08-03,None
Karel Schwarzenberg,1937-12-10,None
David Campbell (MP),1891-01-29,1963-06-12
Mulraj Rajda,1931-11-13,None
Isamu Yoshii,1886-10-08,1960-11-09
Ewa Farna,1993-08-12,None
Marie-Alain Couturier,1897-11-15,1954-02-09
Vladimir Drachev,1966-03-07,None
Carlo Lucarelli,1960-10-26,None
Benny Meyer,1885-01-21,1974-02-06
Roland Varga (discus thrower),1977-10-22,None
Gergely Horváth,1975-06-05,None
Danny O'Connell,1927-01-21,1969-10-02
Hayat El Ghazi,1979-11-09,None
Luís Mendes de Vasconcelos,1542-11-09,1623-03-07
Gareth Morton,1982-10-21,None
Jorge Roldán,1940-11-16,None
Jan Charouz,1987-07-17,None
Tony Scott (footballer),1941-04-01,None
Sheila Watson,1953-05-20,None
Craig Davis (American football),1985-10-02,None
The Lord Cornwallis,1864-05-27,1935-09-26
Turk Schonert,1957-01-15,2019-01-17
Alba Parietti,1961-07-02,None
Irene Cortes,1921-10-20,1996-10-28
Jørn Andersen,1963-02-03,None
Peter Clarke,1948-10-07,2007-01-21
Gasparo Angiolini,1731-02-09,1803-02-06
John Dalley,1935-03-03,None
Harold R DeMoss Jr,1930-12-30,None
Kessog,0460-11-09,0520-03-10
Joseph W Fordney,1853-11-05,1932-01-08
